harp_num,t_rec,noaa_num,latdtmin,londtmin,latdtmax,londtmax
12,2010.05.04_02:00:00_TAI,11068,-23.5504,-85.036499,-16.6392,-69.158798
12,2010.05.05_19:00:00_TAI,11068,-23.5504,-62.2202,-16.6392,-46.342499
12,2010.05.07_18:00:00_TAI,11068,-23.5504,-36.064899,-16.6392,-20.187201
12,2010.05.07_23:00:00_TAI,11068,-23.5504,-33.282501,-16.6392,-17.4048
12,2010.05.12_07:00:00_TAI,11068,-23.5504,24.593,-16.6392,40.470798
12,2010.05.12_06:00:00_TAI,11068,-23.5504,24.0366,-16.6392,39.914299
12,2010.05.07_19:00:00_TAI,11068,-23.5504,-35.5084,-16.6392,-19.630699
12,2010.05.07_22:00:00_TAI,11068,-23.5504,-33.839001,-16.6392,-17.9613
12,2010.05.07_08:00:00_TAI,11068,-23.5504,-41.629902,-16.6392,-25.752199
12,2010.05.07_20:00:00_TAI,11068,-23.5504,-34.952,-16.6392,-19.0742
12,2010.05.12_05:00:00_TAI,11068,-23.5504,23.480101,-16.6392,39.3578
12,2010.05.12_03:00:00_TAI,11068,-23.5504,22.3671,-16.6392,38.244801
12,2010.05.04_03:00:00_TAI,11068,-23.5504,-84.480003,-16.6392,-68.602303
12,2010.05.07_21:00:00_TAI,11068,-23.5504,-34.3955,-16.6392,-18.517799
12,2010.05.05_18:00:00_TAI,11068,-23.5504,-62.776699,-16.6392,-46.898998
12,2010.05.04_05:00:00_TAI,11068,-23.5504,-83.366997,-16.6392,-67.489304
12,2010.05.04_07:00:00_TAI,11068,-23.5504,-82.254097,-16.6392,-66.376404
12,2010.05.12_10:00:00_TAI,11068,-23.5504,26.262501,-16.6392,42.140202
12,2010.05.12_11:00:00_TAI,11068,-23.5504,26.819,-16.6392,42.696701
12,2010.05.12_17:00:00_TAI,11068,-23.5504,30.158001,-16.6392,46.035702
12,2010.05.05_03:00:00_TAI,11068,-23.5504,-71.1241,-16.6392,-55.246399
12,2010.05.12_16:00:00_TAI,11068,-23.5504,29.6015,-16.6392,45.479198
12,2010.05.07_09:00:00_TAI,11068,-23.5504,-41.073399,-16.6392,-25.1957
12,2010.05.04_09:00:00_TAI,11068,-23.5504,-81.141098,-16.6392,-65.263397
12,2010.05.08_02:00:00_TAI,11068,-23.5504,-31.613001,-16.6392,-15.7353
12,2010.05.12_15:00:00_TAI,11068,-23.5504,29.045,-16.6392,44.922699
12,2010.05.07_10:00:00_TAI,11068,-23.5504,-40.516899,-16.6392,-24.6392
12,2010.05.12_14:00:00_TAI,11068,-23.5504,28.488501,-16.6392,44.366199
12,2010.05.11_23:00:00_TAI,11068,-23.5504,20.1411,-16.6392,36.018799
12,2010.05.07_14:00:00_TAI,11068,-23.5504,-38.290901,-16.6392,-22.4132
12,2010.05.08_01:00:00_TAI,11068,-23.5504,-32.169498,-16.6392,-16.2918
12,2010.05.04_08:00:00_TAI,11068,-23.5504,-81.697601,-16.6392,-65.819901
12,2010.05.12_04:00:00_TAI,11068,-23.5504,22.923599,-16.6392,38.8013
12,2010.05.07_13:00:00_TAI,11068,-23.5504,-38.847401,-16.6392,-22.9697
12,2010.05.12_00:00:00_TAI,11068,-23.5504,20.697599,-16.6392,36.575298
12,2010.05.12_13:00:00_TAI,11068,-23.5504,27.931999,-16.6392,43.8097
12,2010.05.07_12:00:00_TAI,11068,-23.5504,-39.4039,-16.6392,-23.526199
12,2010.05.12_12:00:00_TAI,11068,-23.5504,27.3755,-16.6392,43.253201
12,2010.05.07_11:00:00_TAI,11068,-23.5504,-39.9604,-16.6392,-24.082701
14,2010.05.05_10:00:00_TAI,11070,19.469101,-0.8082,22.1082,4.2047
14,2010.05.06_05:00:00_TAI,11070,19.469101,9.7519,22.1082,14.7648
14,2010.05.06_13:00:00_TAI,11070,19.469101,14.1982,22.1082,19.2111
14,2010.05.06_08:00:00_TAI,11070,19.469101,11.4192,22.1082,16.432199
14,2010.05.06_07:00:00_TAI,11070,19.469101,10.8635,22.1082,15.8764
14,2010.05.06_03:00:00_TAI,11070,19.469101,8.6403,22.1082,13.6532
14,2010.05.06_12:00:00_TAI,11070,19.469101,13.6424,22.1082,18.6553
14,2010.05.06_09:00:00_TAI,11070,19.469101,11.975,22.1082,16.988001
14,2010.05.05_07:00:00_TAI,11070,19.469101,-2.4756,22.1082,2.5373
14,2010.05.05_11:00:00_TAI,11070,19.469101,-0.2524,22.1082,4.7605
14,2010.05.06_11:00:00_TAI,11070,19.469101,13.0866,22.1082,18.0996
14,2010.05.06_04:00:00_TAI,11070,19.469101,9.1961,22.1082,14.209
14,2010.05.06_06:00:00_TAI,11070,19.469101,10.3077,22.1082,15.3206
14,2010.05.06_02:00:00_TAI,11070,19.469101,8.0845,22.1082,13.0974
14,2010.05.06_10:00:00_TAI,11070,19.469101,12.5308,22.1082,17.5438
14,2010.05.05_08:00:00_TAI,11070,19.469101,-1.9198,22.1082,3.0931
14,2010.05.05_09:00:00_TAI,11070,19.469101,-1.364,22.1082,3.6489
14,2010.05.05_04:00:00_TAI,11070,19.469101,-4.143,22.1082,0.8699
14,2010.05.05_13:00:00_TAI,11070,19.469101,0.8592,22.1082,5.8721
14,2010.05.05_22:00:00_TAI,11070,19.469101,5.8613,22.1082,10.8742
14,2010.05.05_19:00:00_TAI,11070,19.469101,4.1939,22.1082,9.2069
14,2010.05.05_17:00:00_TAI,11070,19.469101,3.0823,22.1082,8.0953
14,2010.05.05_23:00:00_TAI,11070,19.469101,6.4171,22.1082,11.43
14,2010.05.05_18:00:00_TAI,11070,19.469101,3.6381,22.1082,8.6511
14,2010.05.05_06:00:00_TAI,11070,19.469101,-3.0314,22.1082,1.9815
14,2010.05.06_00:00:00_TAI,11070,19.469101,6.9729,22.1082,11.9858
14,2010.05.05_16:00:00_TAI,11070,19.469101,2.5265,22.1082,7.5395
14,2010.05.06_19:00:00_TAI,11070,19.469101,17.533001,22.1082,22.5459
14,2010.05.05_21:00:00_TAI,11070,19.469101,5.3055,22.1082,10.3184
14,2010.05.05_05:00:00_TAI,11070,19.469101,-3.5872,22.1082,1.4257
14,2010.05.05_20:00:00_TAI,11070,19.469101,4.7497,22.1082,9.7626
14,2010.05.05_15:00:00_TAI,11070,19.469101,1.9707,22.1082,6.9837
